n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,train_auc,val_auc,diff_auc,val_f1,val_precision,val_recall,training_time,global_idx
150,8,2,1,0.5,balanced,0.7806103786703733,0.7332654869724755,0.047344891697897795,0.25321973449574003,0.15990990990990991,0.6079923882017126,110.42732119560242,0
150,8,2,1,0.5,"{0: 1, 1: 8}",0.7787581171899186,0.7341389773348868,0.04461913985503185,0.2724289865941689,0.1933723715730636,0.46083095464636853,542.4337463378906,1
150,8,2,1,0.5,"{0: 1, 1: 12}",0.7804562192667924,0.7335030841293473,0.046953135137445146,0.2503176620076239,0.15651068562802892,0.6248017760862671,517.2373781204224,2
150,8,2,1,0.6,balanced,0.780703883253508,0.7330530554057124,0.04765082784779562,0.251919512840879,0.15918025930572982,0.6035521725340945,148.6826527118683,3
150,8,2,1,0.6,"{0: 1, 1: 8}",0.7793492549210546,0.7328398705355209,0.04650938438553365,0.2704204482311539,0.19097449313276652,0.46305106248017763,67.46412754058838,4
150,8,2,1,0.6,"{0: 1, 1: 12}",0.7805418176997928,0.7327264677118733,0.047815349987919475,0.2507989262431292,0.15704794685023613,0.6222645099904852,66.77180743217468,5
150,8,2,2,0.5,balanced,0.780311703163161,0.7339138272032654,0.04639787595989564,0.2531010820797044,0.15979338498708656,0.6083095464636854,56.86792039871216,6
150,8,2,2,0.5,"{0: 1, 1: 8}",0.7788992940296409,0.733669564186988,0.04522972984265283,0.27039232289020604,0.19221508828250403,0.45575642245480497,56.56506156921387,7
150,8,2,2,0.5,"{0: 1, 1: 12}",0.7808635288249552,0.7341315581720528,0.046731970652902466,0.250095504902585,0.15645662391460208,0.6228988265144307,56.26564979553223,8
150,8,2,2,0.6,balanced,0.7804766017335063,0.7332494223389014,0.04722717939460486,0.2537135278514589,0.1603923870210447,0.6067237551538217,66.93175387382507,9
150,8,2,2,0.6,"{0: 1, 1: 8}",0.7788085543985723,0.7331048406367326,0.04570371376183968,0.270431460255335,0.19147532330430192,0.46019663812242306,66.70063257217407,10
150,8,2,2,0.6,"{0: 1, 1: 12}",0.7804945016204217,0.7325964440364228,0.0478980575839989,0.2504648925937801,0.15696833306542357,0.6194100856327307,66.9495108127594,11
150,8,3,1,0.5,balanced,0.7803446428585468,0.7331087648220334,0.04723587803651341,0.2530471648118707,0.15992631667085322,0.6057722803679035,56.38207006454468,12
150,8,3,1,0.5,"{0: 1, 1: 8}",0.7790253873246267,0.7335652579402034,0.04546012938442323,0.269768314417034,0.1915290356952584,0.45607358071677767,56.216870069503784,13
150,8,3,1,0.5,"{0: 1, 1: 12}",0.7806055941962247,0.7336079334553474,0.0469976607408773,0.2513195548489666,0.15717467387846007,0.6267047256581034,56.612194538116455,14
150,8,3,1,0.6,balanced,0.7806529392508721,0.7330045505483417,0.04764838870253041,0.2521865889212828,0.1593935840522657,0.6035521725340945,66.82580876350403,15
150,8,3,1,0.6,"{0: 1, 1: 8}",0.7790903843362316,0.7326634223464694,0.04642696198976215,0.27061664190193163,0.19133289560078792,0.46209958769425946,66.7947793006897,16
150,8,3,1,0.6,"{0: 1, 1: 12}",0.7804494937224884,0.7324811973712442,0.04796829635124422,0.2499680674415634,0.15649740103958418,0.6206787186806216,66.49882960319519,17
